Cont_24h_a,Cont_24h_b,Cont_24h_c,Cont_44h_a,Cont_44h_b,Cont_44h_c,EP93_24h_a,EP93_24h_b,EP93_24h_c,EP93_44h_a,EP93_44h_b,EP93_44h_c,EP93Br_24h_a,EP93Br_24h_b,EP93Br_24h_c,EP93Br_44h_a,EP93Br_44h_b,EP93Br_44h_c
FBgn0000008,27.320653,30.043938,28.416979,73.80404,72.693467,68.765175,36.967099,35.882732,45.053183,76.000655,70.424568,82.601302,52.014941,57.82447,55.344552,85.300256,93.577726,83.758268
FBgn0000014,1.772951,2.363538,2.064192,0.431132,0.271057,0.313125,0.174582,0.208421,0.206817,0.123156,0.07519,0.112959,0.163811,0.200617,0.110283,0.383834,0.177704,0.189843
FBgn0000015,0.50016,0.15428,0.255802,0.042604,0.163249,0.066996,0.094633,0.089962,0.089737,0.014281,0.035566,0.044305,0.010757,0.054306,0.011324,0.028687,0.013569,0
FBgn0000017,21.236783,23.052825,21.70423,26.927797,24.850199,23.210717,26.544195,24.389797,34.847158,28.258523,25.459049,29.789156,25.000644,25.779994,21.411419,24.039088,24.529704,16.690113
FBgn0000018,12.639411,12.788542,12.326698,9.423206,10.079964,10.084331,13.546701,12.83204,16.321585,9.710934,10.125793,8.99653,10.220411,12.293539,12.473304,8.208529,8.099852,9.301147
FBgn0000022,29.413899,34.122657,33.518387,2.602106,3.684137,3.007543,32.912179,32.68166,34.727993,6.855558,6.358179,5.814891,36.35472,35.626963,31.873432,2.710442,1.86327,1.852601
FBgn0000024,2.657503,1.621589,1.596217,2.659673,2.701116,2.121844,0.701238,0.435562,0.548039,2.099262,2.2979,1.995658,0.392417,0.508078,0.324653,2.475601,2.649047,2.193421
FBgn0000028,0.426256,0.51806,0.433809,0.376122,0.219867,0.315451,0.514477,0.475173,0.495816,0.53958,0.566532,0.7248,0.50932,0.460336,0.516738,0.283333,0.503186,0.244126
FBgn0000032,16.274274,14.142918,15.829196,20.184816,21.995606,21.700089,15.477797,16.988657,18.476634,16.866563,17.689571,16.037478,14.598318,14.215899,15.288997,20.432744,21.325485,19.291357
FBgn0000036,0.877911,0.426666,0.471457,0.227746,0.099798,0.276976,0.066427,0.04922,0.053306,0.040166,0.033757,0.121113,0.015549,0.009343,0.004143,0.041784,0,0.03248
FBgn0000037,0.356616,0.386542,0.363575,3.557791,4.187841,2.808107,0.136364,0.145956,0.29172,3.445336,3.93706,6.568241,0.111075,0.15844,0.217028,6.547875,8.886395,6.850495
FBgn0000038,3.441611,1.495408,2.033474,0.828708,0.884872,1.105321,0.284409,0.290567,0.211111,0.198403,0.540994,0.551858,0.018363,0.193861,0.038444,0.398598,0.448309,0.515572
FBgn0000039,1.424975,1.188482,0.900191,0.167832,0.308947,0.378036,0.135293,0.151541,0.091107,0.118047,0.098166,0,0,0.075641,0,0.240282,0.056947,0.050429
FBgn0000042,3404.430954,3481.877218,3507.143069,5792.167605,5808.349184,5438.358674,3364.181285,3401.560783,3793.20431,4189.62045,4210.4116,4338.73589,3040.326045,2933.839527,2900.292015,6172.999433,6093.010245,6205.010905
