Run	download_path	SampleName	Sp	outFolder	Time	Genotype	Replicate
Pupal_Wings_Cont_24h_a	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	Cont_24h_a	Dme	DAVID_EP93	H24	Cont	a
Pupal_Wings_Cont_24h_b	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	Cont_24h_b	Dme	DAVID_EP93	H24	Cont	b
Pupal_Wings_Cont_24h_c	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	Cont_24h_c	Dme	DAVID_EP93	H24	Cont	c
Pupal_Wings_Cont_44h_a	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	Cont_44h_a	Dme	DAVID_EP93	H44	Cont	a
Pupal_Wings_Cont_44h_b	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	Cont_44h_b	Dme	DAVID_EP93	H44	Cont	b
Pupal_Wings_Cont_44h_c	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	Cont_44h_c	Dme	DAVID_EP93	H44	Cont	c
Pupal_Wings_EP93_24h_a	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93_24h_a	Dme	DAVID_EP93	H24	EP93	a
Pupal_Wings_EP93_24h_b	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93_24h_b	Dme	DAVID_EP93	H24	EP93	b
Pupal_Wings_EP93_24h_c	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93_24h_c	Dme	DAVID_EP93	H24	EP93	c
Pupal_Wings_EP93_44h_a	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93_44h_a	Dme	DAVID_EP93	H44	EP93	a
Pupal_Wings_EP93_44h_b	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93_44h_b	Dme	DAVID_EP93	H44	EP93	b
Pupal_Wings_EP93_44h_c	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93_44h_c	Dme	DAVID_EP93	H44	EP93	c
Pupal_Wings_EP93Br_24h_a	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93Br_24h_a	Dme	DAVID_EP93	H24	EP93_Broad	a
Pupal_Wings_EP93Br_24h_b	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93Br_24h_b	Dme	DAVID_EP93	H24	EP93_Broad	b
Pupal_Wings_EP93Br_24h_c	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93Br_24h_c	Dme	DAVID_EP93	H24	EP93_Broad	c
Pupal_Wings_EP93Br_44h_a	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93Br_44h_a	Dme	DAVID_EP93	H44	EP93_Broad	a
Pupal_Wings_EP93Br_44h_b	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93Br_44h_b	Dme	DAVID_EP93	H44	EP93_Broad	b
Pupal_Wings_EP93Br_44h_c	/users/mirimia/projects/SAMPLES/Dme/DAVID_EP93/	EP93Br_44h_c	Dme	DAVID_EP93	H44	EP93_Broad	c
